Year;Implied_ERP_(FCFE);T_Bond_Rate;US_Marginal_Tax_Rate;Credit_Spread
2010;0.0520;0.0329;0.35;0.0255
2011;0.0601;0.0188;0.35;0.0285
2012;0.0578;0.0176;0.35;0.0210
2013;0.0496;0.0304;0.35;0.0185
2014;0.0578;0.0217;0.35;0.0170
2015;0.0612;0.0227;0.35;0.0215
2016;0.0569;0.0245;0.35;0.0205
2017;0.0508;0.0241;0.35;0.0165
2018;0.0596;0.0268;0.25;0.0195
2019;0.0520;0.0192;0.25;0.0155
2020;0.0472;0.0093;0.25;0.0285
2021;0.0424;0.0151;0.25;0.0135
2022;0.0594;0.0388;0.25;0.0190
2023;0.0460;0.0388;0.25;0.0155
2024;0.0433;0.0458;0.25;0.0140
2025;0.0423;0.0418;0.25;0.0135